Comparison	Signature	Sample	Age	Cell_type	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	Dataset
HGG-G34R.V_vs_HGG-IDH	HF IPC-nEN1	Human fetal cortex/MGE	Human fetal	Intermediate Progenitor Cells EN-like 1	0.0135393437400446	0.01926019320766908	0.390607628633888	1.4623107534065811	84	100	DMRTA2, EPHB2, EOMES, BICD1, TMTC2, CLMP, WDR6, CCDC88C, EMX2, TSPAN5, SEZ6, TFAP2C, KIF26B, NKAIN3, LZTS1, SEMA5B, SORBS2, NHLH1, NFIC, MLLT3, RASGRP1, PIP5K1A, SLC22A23, FBLN1, CELSR2, SVIL, MFAP2, EZR, GPR56, TMEM158, SRGAP3, CNR1, ZNF3, ZXDC, PRKX	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	F-p0 ASTR1	Forebrain P0	Mouse P0	Astrocytes 1	0.01365134159736388	0.019283713305367156	0.37770245712380507	1.441701992777897	86	116	NR2E1, VEPH1, PAX6, SLCO1C1, MLC1, PLAGL1, SLC1A3, FAM210B, HES5, RLBP1, EMID1, FABP7, SFRP1, TFAP2C, CSPG5, ABHD4, SOX9, PDPN, MFGE8, TMEM132B, TNC, FGFBP3, ACTR3B, VIM, ACOT1, MSI2, ASRGL1, MID1IP1, NRARP, MT3, SLC9A3R1	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	HF nIN2	Human fetal cortex/MGE	Human fetal	MGE newborn neurons 2	0.02038865880853775	0.027641000532380038	0.37975285815412313	1.4216739444076507	127	100	DLX1, DLX2, ARX, TMEM2, HIST1H2BD, DLX6, GAD2, SOX1, DLX5, FAM65B, ST8SIA5, TCTN2, CITED2, DCX, DNMT3A, NELFCD, ITGB1BP1, KIAA1549, SP9, ZNF536, PLS3, NRXN3	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	F-p6 MNG	Forebrain P6	Mouse P6	Meninges	0.021174972138194557	0.028515629146102003	0.3774892919168564	1.4156185737098017	132	101	LRRC17, TFAP2B, ISYNA1, CLMP, PCOLCE, BICC1, LAMC3, CTSK, MMP2, FSTL1, COL1A2, ALX3, C1QTNF2, MFAP4, COL4A6, LGALS1, RANBP3L, EMP3, COL1A1, OGN, MSX1, KDELR3, LAMA1, LOX, DCN, IL34, COL6A2, VTN, WDR86, WNT4	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p0 MNG	Forebrain P0	Mouse P0	Meninges	0.025924147863658185	0.0344518280819668	0.3767292316386137	1.405754549097138	161	98	LRRC17, NID1, BGN, BMP7, PCOLCE, BICC1, CTSK, COL5A2, MMP2, COL1A2, ALX3, C1QTNF2, COL4A1, RANBP3L, EMP3, COL1A1, OGN, MSX1, LAMA1, FMOD, EVA1B, STRA6, HIC1, LOX, DCN, COL6A2, VTN, WNT4, NID2, GXYLT2, LAMB1	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	HF MGE-RG1	Human fetal cortex/MGE	Human fetal	MGE Radial Glia 1	0.03902516725071679	0.0489632533207751	0.36249917037621304	1.3570816238178098	244	100	VEPH1, LIMD1, ILDR2, LIPG, PRDM16, AJUBA, YAP1, TMTC2, PTPN14, CDO1, PDGFD, PDLIM3, PDGFRB, TENM1, PLCH1, GPR98, TMEM67, MGLL, FZD5, TCF7L1, LGALS3BP, PPARGC1A, PPAP2B, IFT140, C9orf3, ZHX2, IQGAP2, LITAF, CREB5, LZTFL1, GPC1, LIX1, SPECC1, ADAMTSL1	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	F-e15 MGINH	Forebrain E15.5	Mouse E15.5	Medial ganglionic eminence-derived inhibitory neurons	0.048423064670277155	0.06037937693454312	0.35627874633261186	1.3337943342133545	303	100	DLX1, DLX2, ARX, NPY, ARL4D, BHLHB9, GAD2, DLX5, SLC32A1, CITED2, DCX, NREP, PPDPF, CARHSP1, UBB, EPHA5, AES, SOX11, MAGED1, TPGS2, SP9, CDK5R1, NRXN3	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	HP AST-PP	Human ped/adult cortex	Human ped/adult	Protoplasmic astrocytes	0.060814046288906624	0.07536464632122171	0.35029623273904703	1.3091022813565352	380	99	NHSL1, GLI3, SLCO1C1, CADM1, RP11-436D23.1, SLC1A3, STON2, SHROOM3, FBXL7, RORB, NEAT1, F3, ACSS1, GPR98, RFX4, NKAIN3, RANBP3L, LRRC16A, MEIS2, NFIA, AC002429.5, PRKG1, LINC00299, MSI2, LRRC3B, FGFR3	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p0 EXIP1	Forebrain P0	Mouse P0	Excitatory neuron intermediate progenitor cells 1	0.06657065130420867	0.08199555831372043	0.3475154846666182	1.2967442726090892	415	98	TUBB, POU3F2, NEUROG2, EOMES, MDK, CDK6, AUTS2, CITED2, DBN1, EPHA3, DCX, MEX3A, KIF21A, TTC28, LZTS1, ZBTB18, EPHA5, SORBS2, SOX11, LHX2, MEIS2, MLLT3, CDK4, NFIB, POU3F3, PTPRS, NFIX	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p3 ASTR1	Forebrain P3	Mouse P3	Astrocytes 1	0.09105254852453842	0.10947985001164738	0.3282877143244891	1.2465215595249104	576	111	NR2E1, PAX6, SLCO1C1, MLC1, PLAGL1, SLC1A3, FAM210B, PDLIM4, FABP7, SFRP1, FXYD1, NOTCH2, CSPG5, KIF21A, HMGCS1, ABHD4, SOX9, CRYM, PDPN, EMP2, PSAT1, FGFBP3	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 21-Endothelial	Striatum	Mouse P9	Str/SVZ 21-Endothelial	0.10941516709511569	0.12884308290963822	0.33383751927625704	1.237422791293323	680	94	SLCO1C1, SERPINH1, NID1, PDGFD, PDGFRB, MYO1B, NDUFA4L2, COL4A2, HEG1, LHFP, GNG11, COL4A1, BSG, MAST4, VIM, RASSF9, PLEKHG1, EVA1B, ITGA1, RGS5, ABCC9, RHOJ, DOCK6, MYO10, FN1, PTPRG, COBLL1, LEF1, ARHGAP29, RBPMS, LAMA4, FLT1, CALD1	Anderson et al 2020
HGG-G34R.V_vs_HGG-IDH	F-e15 EXIP1	Forebrain E15.5	Mouse E15.5	Excitatory neuron intermediate progenitor cells 1	0.10792174470814625	0.1282364260649738	0.3331244991535805	1.23715554360935	672	95	PLXNA2, EOMES, ROBO2, BCL11A, AUTS2, DBN1, EPHA3, DCX, NREP, KDM5B, TTC28, MFAP4, LZTS1, ZBTB18, EPHA5, SORBS2, NHLH1, SOX11, NFIA, NFIB, ACTG1, F2R, SEMA6D, SLC30A10, VAT1	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	HF IN-CTX-MGE1	Human fetal cortex/MGE	Human fetal	MGE-derived Ctx inhibitory neuron, Germinal Zone Enriched	0.11452691940108314	0.13372507352033985	0.3276772646548206	1.22671948171477	718	100	DLX2, ARX, TMEM2, METAP1D, ARL4D, DLX6, GAD2, ARL4C, SOX1, DLX5, FAM65B, ST8SIA5, CCSER1, DCX, BEND4, ZNF618, CUX1, SP9, ZNF536, PLS3, NRXN3	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 43-Endothelial	Striatum	Mouse P9	Str/SVZ 43-Endothelial	0.15476963011031797	0.1756374454060912	0.3230261072919276	1.1894627728348033	953	91	SLCO1C1, NID1, ARAP3, HSPG2, PDGFD, SLC16A4, COL4A2, HTRA3, GNG11, COL4A1, AFAP1L1, RASSF9, TMEM204, ITGA1, VWF, FLVCR2, RHOJ, ESAM, FZD6, FN1, LEF1, ARHGAP29, RBPMS, LAMA4, FLT1, SLC2A1, CDH5, HMCN1, NOSTRIN, CD38, TFRC, CD34, KDR	Anderson et al 2020
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 11-Endothelial	Striatum	Mouse P9	Str/SVZ 11-Endothelial	0.1791452442159383	0.19993005155590907	0.3138435364339307	1.1633118581919164	1114	94	SLCO1C1, NID1, FBXL7, PDGFD, TSPAN5, MYO1B, COL4A2, HEG1, GNG11, COL4A1, BSG, MAST4, VIM, RASSF9, PLEKHG1, VWF, RGS5, HIP1, RHOJ, ESAM, MYO10, FN1, PTPRG, COBLL1, LEF1, IGF1R, ARHGAP29, RBPMS, LAMA4, LRP8, FLT1, SEMA6A, CDH5, CSRP2, HMCN1, NOSTRIN, TFRC, CD34, KDR	Anderson et al 2020
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 3-Astrocytes	Striatum	Mouse P9	Str/SVZ 3-Astrocytes	0.18383644785178085	0.2029232921642608	0.3119342489470686	1.1613289916198481	1150	96	NHSL1, GLI3, SLCO1C1, PRDM16, MLC1, SLC1A3, HES5, SLC6A11, RORB, FABP7, GJA9, CSPG5, F3, RGMA, EGFR, RFX4, ARAP2, MFGE8, TNC	Anderson et al 2020
HGG-G34R.V_vs_HGG-IDH	F-p0 EXIP2	Forebrain P0	Mouse P0	Excitatory neuron intermediate progenitor cells 2	0.190987812700449	0.20853804413778756	0.31071739619192273	1.153940194045822	1190	95	TAC3, EOMES, NECAB3, VPS37B, SYNPR, CALB2, AUTS2, EMX2, DCX, SOCS2, IER5, ONECUT2, MFAP4, ZBTB18, SORBS2, NHLH1, SOX11, LHX2, NFIA, BHLHE22, NFIB, DDAH2, NFIX	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	VSVZ-1 Ependymal	V-SVZ	Mouse adult	VSVZ-1 Ependymal	0.2526638682596061	0.27147926270447037	0.30565495421987393	1.1146100470539162	1564	84	CDHR3, NUF2, C2orf70, TMEM107, EFCAB1, LRRC48, CHEK2, BPHL, DNALI1, FOXJ1, CRYGN, ELOF1, TEKT1, AC079354.1, HDC, ENKUR, ACTA2, SPA17, MNS1, ACOT2, CALD1, C1orf43, C9orf24, CALML4, HIST1H4A, EFCAB10, PPIL6, C17orf97, MORN5	Mizrak et al 2019
HGG-G34R.V_vs_HGG-IDH	VSVZ-2 Ependymal	V-SVZ	Mouse adult	VSVZ-2 Ependymal	0.25834683954619125	0.27493019405351554	0.3079185410385802	1.111265620464355	1593	79	CDHR3, MORN3, C2orf70, TMEM107, EFCAB1, LRRC48, C22orf15, DNALI1, FOXJ1, CRYGN, ELOF1, TEKT1, HDC, ENKUR, CCDC121, C20orf96, SPA17, MNS1, ACOT2	Mizrak et al 2019
HGG-G34R.V_vs_HGG-IDH	HF Astrocyte	Human fetal cortex/MGE	Human fetal	Astrocyte	0.2690347244345333	0.2845288708679357	0.29473168768896124	1.1033817178240504	1688	100	ACACB, SLCO1C1, SLC1A3, NPNT, MYO1E, SLC6A11, WSCD1, CSPG5, PON2, F3, ADRB1, EGFR, AC007682.1, RFX4, ARAP2, MAP3K1, HOPX, TNC, PLEKHG1, B3GALTL, SLC15A2, DIO2, IL17RB, ABCC9	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	HP Endothelial	Human ped/adult cortex	Human ped/adult	Endothelial	0.2810853950518755	0.295725259377494	0.29276197667525894	1.0940893328006072	1760	99	BGN, SYNE2, NOTCH3, PDGFRB, THSD4, NEAT1, NDUFA4L2, HEG1, LHFP, GNG11, BSG, VIM, UACA, ITGA1, VWF, NXN, RGS5, DCN, FN1, PTPRG, COBLL1, LEF1, SLC6A12, LAMA2, ARHGAP29, ITGA6, RBPMS, FLT1, CALD1	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-IDH	HF IPC-nEN2	Human fetal cortex/MGE	Human fetal	Intermediate Progenitor Cells EN-like 2	0.2997769990442816	0.30895384595380043	0.2896734945462187	1.0844454511379418	1881	100	PLXNA2, POU3F2, EOMES, ENC1, ROBO2, CLMP, CCDC88C, SEZ6, LZTS1, RYBP, SORBS2, NHLH1, NFIA, MLLT3, SLC22A23, NFIB, CORO2B, POU3F3, RND3, EZR, QSER1, GPR56, TMEM158, CNR1, PRKX, RFX7, SMARCD3, LRP8, FOXJ3, YWHAQ, GTF2I, PPP4R1	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	HF IN-STR	Human fetal cortex/MGE	Human fetal	Striatal neurons	0.39646384198789425	0.40652637604850067	0.27367983814021024	1.024570287330741	2488	100	DLX2, MEIS1, MAML3, DLX6, GAS2L3, BCL11A, SYNPR, DLX5, ZFHX4, DNMT3A, LHFP, LRRC16A, MEIS2, SP9, SDC3, PBX1, DLGAP4	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 26-Ependymal	Striatum	Mouse P9	Str/SVZ 26-Ependymal	0.6151721897335932	0.6244461423426423	0.2578631557107824	0.923953734094003	3786	76	MLC1, DNAH11, TMEM107, EFCAB1, SOX9, DNAH9, ACOT6, FOXJ1, ANKFN1, ELOF1, WDR63, HDC, ENKUR, LRRIQ1, KIF9, CEP128, MT3, VWA3A, CHCHD10	Anderson et al 2020
HGG-G34R.V_vs_HGG-IDH	F-p3 EPENP	Forebrain P3	Mouse P3	Ependymal progenitors	0.8580266497461929	0.8580266497461929	0.21795725118252537	0.8206235403540704	5408	105	MLC1, CCDC74B, CCDC74A, FXYD1, TMEM107, EFCAB1, DALRD3, B9D1, BPHL, FOXJ1, MAPK15, C15orf65, TEKT1, ENKUR, LRRIQ1, KIF9, MT3, UBXN11, DCDC2, C1orf43, C1orf43, NKX2-1, DNAJB13, C9orf24, MT1F, MT1F	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p3 ENDO	Forebrain P3	Mouse P3	Endothelial	0.6287818995001315	0.6350697184951328	-0.23573370702533641	-0.9292190902857164	2389	92	EFNA1, TDRP, LMO2, GIMAP1, ABCB1, SRGN, MAP7, SLCO1A2, SLC40A1, KANK3, FLI1, OCLN, GIMAP6, CYYR1, SLCO2B1, CA4, ETS1, APLN, PALMD, CLDN5, SOX17, LY75, PTPRB, LY75-CD302, C1orf115, CCDC141, SLC38A5, IGFBP7	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p6 ASTR2-2	Forebrain P6	Mouse P6	Astrocytes 2-2	0.4525665143778554	0.46170927224407465	-0.2500588591169898	-0.9983730888755461	1683	101	ID3, SPARCL1, ID1, PPP1R3C, ALDOC, PPP1R3G, MRAS, CLDN10, CPE, GLUD2, CST3, ALDH1L1, FEZ1, GPM6A, BTBD17, JUNB, GSTM5, PLA2G7, BTG2, PHYHIPL, GLUD1, BCAN, CSRNP1, CA8, ID2, SOCS3, FAM181B, LCAT, MMD2, CBS	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p6 ENDO	Forebrain P6	Mouse P6	Endothelial	0.2990506329113924	0.30895384595380043	-0.26989035332739336	-1.0651229756236145	1133	93	SPOCK2, EFNA1, TDRP, LMO2, FAR2, DOK4, ABLIM1, GIMAP1, FAM110D, ABCB1, SRGN, SLC9A3R2, SLC40A1, KANK3, FLI1, OCLN, GIMAP6, CYYR1, CA4, ETS1, PALMD, DEF6, CLDN5, SOX17, LY75, PTPRB, LY75-CD302, C1orf115, SLC38A5, IGFBP7	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p0 ENDO	Forebrain P0	Mouse P0	Endothelial	0.2585977072780592	0.27493019405351554	-0.2736139086324256	-1.0864375221904259	969	97	EFNA1, TDRP, CAV1, GPIHBP1, GIMAP5, GIMAP1, FAM110D, ABCB1, SRGN, CDKN2B, KCNA5, SLC40A1, FLI1, OCLN, GIMAP6, SHE, CYYR1, GATA2, F11R, DEF6, CLDN5, SOX17, CCM2L, LY75, PTPRB, EDN1, LY75-CD302, C1orf115, SLC38A5, SIGIRR, PDE8A, DUSP2	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p3 ASTR2	Forebrain P3	Mouse P3	Astrocytes 2	0.20576243544441425	0.22346242989124557	-0.27799900676978334	-1.1207454460293333	756	107	LUZP2, ID3, SPARCL1, RAMP1, GRM5, MT1X, ALDOC, CLDN10, CPE, APOE, GLUD2, CST3, ALDH1L1, MYO6, FEZ1, GPM6A, BTBD17, GSTM5, TIMP3, PLA2G7, PHYHIPL, TSC22D4, GLUD1, BCAN, SERPINE2, FAM181B, TMEM229A, MMD2, RCN2, CBS	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p0 CINHN	Forebrain P0	Mouse P0	Cortical inhibitory neurons	0.18785272776135448	0.20622962504235653	-0.283373918071563	-1.1313852062306329	698	101	CELF5, INA, NSG2, ACTL6B, GRM5, GNAL, PPP3CA, RGS17, GAP43, MAPK10, SYT6, LYPD1, PLCXD3, NSG1, BZW2, CELF4, SYT1, STMN2, APLP1, SYT5, TUBB3, SNRPN, RUNX1T1, STMN4, GNG2	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	VSVZ-1 Astrocyte	V-SVZ	Mouse adult	VSVZ-1 Astrocyte	0.183430386447856	0.2029232921642608	-0.28805234576308114	-1.1382211880027389	692	94	SCG3, LUZP2, NTRK2, SPARCL1, ALDOC, LSAMP, CLDN10, CPE, APOE, ENHO, SCRG1, ENTPD2, PRNP, ALDH1L1, ACSL6, TIMP4, CLU, GPM6A, BTBD17, SDC4, TIMP3, PLA2G7, GLUD1, GPLD1, BCAN, ID2	Mizrak et al 2019
HGG-G34R.V_vs_HGG-IDH	VSVZ-2 Astrocytes	V-SVZ	Mouse adult	VSVZ-2 Astrocytes	0.16706762897620958	0.18748700585107964	-0.2910513759800953	-1.1525457750630892	624	96	SCG3, LUZP2, NTRK2, SPARCL1, ALDOC, LSAMP, CLDN10, CPE, APOE, ENHO, SCRG1, ENTPD2, PRNP, CST3, ALDH1L1, ACSL6, TIMP4, CLU, GPM6A, BTBD17, SDC4, TIMP3, PLA2G7, GLUD1, BCAN, ID2, SERPINE2, S100A1	Mizrak et al 2019
HGG-G34R.V_vs_HGG-IDH	HF nEN-early2	Human fetal cortex/MGE	Human fetal	Newborn Excitatory Neuron - early born 2	0.147422126745435	0.1682444610315134	-0.2925200329664122	-1.1663203208075437	548	100	ST8SIA1, CTTNBP2, PAK7, NKAIN1, HS3ST1, RNF182, ADRA2A, SH3BGRL2, PHACTR3, DOK6, RBFOX1, NEUROD6, PPP2R2B, PTCHD2, WWC1, SLC17A6, KIAA1107, SCRT2, SORBS1, ST3GAL6, NFASC, RBFOX3, TSPAN13, PLCB1, SLA, SEMA3C, TNIK	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	HF nEN-late	Human fetal cortex/MGE	Human fetal	Newborn Excitatory Neuron - late born	0.13802363050483352	0.15931870492557926	-0.2947211266262763	-1.175096404405876	513	100	ST8SIA1, PRKACB, HS3ST1, APP, GRIA2, SSTR2, CPE, EPB41L3, PHLDA1, INPP5F, DOK6, GNAI1, PPP2R2B, PTCHD2, SLC17A6, GOLGA8A, SORBS1, NEUROD1, NFASC, DOCK4, KRR1, PLCB1, SLA, PPFIA2, SEMA3C, FOXN2, STXBP1, ZC2HC1A, CBLB, PUS7L	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	F-p6 ASTR2	Forebrain P6	Mouse P6	Astrocytes 2	0.11547844944429385	0.13406118843532963	-0.29793752681379465	-1.2003491871666594	425	106	SCG3, LUZP2, SPARCL1, RAMP1, GRM5, MT1X, ALDOC, CLDN10, CPE, TMEM100, APOE, ENHO, GLUD2, CST3, ALDH1L1, GABBR1, CLU, FEZ1, GPM6A, BTBD17, GSTM5, PLA2G7, PHYHIPL, TSC22D4, GLUD1, BCAN, ID2, SERPINE2, FAM181B, SPCS3, MMD2, RCN2, CBS	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p0 ASTR2	Forebrain P0	Mouse P0	Astrocytes 2	0.08156516946817305	0.09925400140102986	-0.30145360992979686	-1.228437880491554	295	116	ID3, SPARCL1, ID1, RAMP1, OLIG1, GRM5, METRN, PPP1R3C, MT1X, MT1X, ALDOC, CLDN10, CPE, APOE, LRIG1, SCRG1, GLUD2, CST3, ALDH1L1, TIMP4, MYO6, GSTM5, PLA2G7, PHYHIPL, TSC22D4, GLUD1, BCAN, CA8, SERPINE2, FAM181B, TMEM229A	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	Str/SVZ 33-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 33-Neurogenic progenitor	0.0932023366967605	0.1114016095428735	-0.3126554303160206	-1.2379219326748614	350	95	OLIG2, MEGF11, CDH20, CRLF1, KCNIP3, OLIG1, RHBDL3, SLC38A1, ZFPM2, DSCAML1, KIF13A, MAML2, SOX6, SOX8, SMOC1, PDE4B, ADRBK2, ZCCHC24	Anderson et al 2020
HGG-G34R.V_vs_HGG-IDH	HF Endothelial	Human fetal cortex/MGE	Human fetal	Endothelial	0.038399570354457575	0.04847945757250269	-0.332885763266474	-1.3272644142283339	142	100	CALCRL, EFNA1, GIMAP7, CAV1, ABCG2, ABCG2, ABCB1, ABCB1, SELE, GIMAP4, TM4SF1, SLCO1A2, SLCO1A2, SLCO1A2, SLCO1A2, SLCO1A2, SLCO1A2, RNF144B, FLI1, MFSD2A, ADM, GIMAP6, SHE, FUT1, XAF1, TNFSF10, APLN, GATA2, GBP4, GBP4	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	HF EN-PFC3	Human fetal cortex/MGE	Human fetal	Early and Late Born Excitatory Neuron PFC	0.03544575725026853	0.04560536920098244	-0.33506022672357483	-1.335934319298259	131	100	PRKG2, ACTL6B, LPHN3, GNAL, ADRA2A, KIF3A, GPR85, L1CAM, GAP43, RBFOX1, NEFM, SPOCK1, ZNF827, ATP8A2, MPPED1, KIAA1644, SYT1, RNF150, TRAPPC6B, APLP1, SLC44A5, HOMER1, GPM6A, SLA, LNX1, PKIA, TNIK	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	HP IN-VIP	Human ped/adult cortex	Human ped/adult	VIP interneurons	0.0374414976599064	0.04764150943396226	-0.35670907280504216	-1.3604319308628017	143	76	GRIK2, GALNT13, VWC2, DOCK10, PWRN1, VWC2L, FSTL5, RELN, DNER, LINGO2, KCNC2, MTUS2, ASIC2, KCNT2, BTBD11, DSCAM, GABRG3, CNTN4, ADARB2, VIP, ZNF804A, RP11-123O10.4, SLC44A5, THSD7A, SNRPN, CACNA1D	Velmeshev et al 2019
HGG-G34R.V_vs_HGG-IDH	VSVZ-1 Endothelial	V-SVZ	Mouse adult	VSVZ-1 Endothelial	0.03157063930544594	0.04114367186903277	-0.3454818790902994	-1.3618262803799377	119	92	ID3, ID1, SPOCK2, CAV1, TSC22D1, PCP4L1, ABCG2, SGMS1, ABLIM1, ABCB1, CDKN1A, SRGN, CD200, LTBP4, TM4SF1, SLC9A3R2, CXCL12, NFKBIA, SLCO1A2, TSPAN13, KANK3, SLC6A6, PLTP, SEMA7A, CA4, RAMP2, DEGS2, LY6E, SLC39A10, CLDN5, SOX17, CCM2L, PTPRB, EDN1, SLC38A5	Mizrak et al 2019
HGG-G34R.V_vs_HGG-IDH	HF IN-CTX-CGE2	Human fetal cortex/MGE	Human fetal	CGE/LGE-derived inhibitory neurons	0.02497314715359828	0.03340778625845598	-0.34396170040281066	-1.3714258018197938	92	100	CSMD3, GRIK2, SLIT1, FGF12, EEA1, RAB3IP, ERC2, UNC79, TNR, RIMS2, HIP1R, THRB, TMOD2, CPLX2, SGIP1, VSTM2A, CDH10, SHISA9, DSCAML1, PRKCA, MYCBP2, CELF4, SLAIN1, TNRC6C, ADRBK2, RIMS1, PCDH9	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-IDH	F-e15 CINHN	Forebrain E15.5	Mouse E15.5	Cortical inhibitory neurons	0.02610759493670886	0.03446885083147183	-0.3478074416761399	-1.3726229657891449	98	93	INA, ACTL6B, SHANK1, RTN1, VSTM2A, TSHZ2, LSAMP, GAP43, INPP5F, RBFOX1, NEFM, NSG1, FAM57B, LY6H, DPYSL3, CELF4, VCAN, CD200, STMN2, SYBU, NAP1L5, APLP1, SYT5, TSPAN13, TUBB3, THSD7A, SNRPN, RUNX1T1, STMN4	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-e12 CINHN	Forebrain E12.5	Mouse E12.5	Cortical inhibitory neurons	0.02820579785844868	0.03699721537277035	-0.35026510151505463	-1.3773694414548363	107	90	INA, RUFY3, ACTL6B, RTN1, L1CAM, TAGLN3, RAB3C, TSHZ2, GAP43, NEFM, NSG1, CELF3, LY6H, DPYSL3, CELF4, SYT1, SCN3A, BEX2, VCAN, CD200, STMN2, TTC3, NAP1L5, APLP1, TUBB3, GPM6A, SNRPN, RUNX1T1, STMN4	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p0 CEXN2	Forebrain P0	Mouse P0	Cortical excitatory neurons 2	0.017909649826249666	0.024733238981140365	-0.3547993313908876	-1.404983807455843	66	96	CTTNBP2, NSG2, ACTL6B, OPCML, RTN1, SYT4, RNF182, TAGLN3, GRIA2, GRP, GAP43, RBFOX1, NSG1, NEUROD6, LY6H, PPP2R2B, DPYSL3, RND2, STMN2, KCTD4, TTC3, NEUROD1, CAMK2B, EDIL3, APLP1	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-p0 ASEP	Forebrain P0	Mouse P0	Astro-ependymal progenitors	0.019717559285904608	0.026911803890221155	-0.3531635153033175	-1.4053942262967791	73	98	MEGF11, NTRK2, RAMP1, LRP1B, METRN, CMTM5, RIIAD1, ALDOC, DYNLRB2, RSPO3, HSPA2, APOE, GDF10, TSPAN15, ENTPD2, CST3, FBXO2, CLU, TCF7L2, ITM2C, ITM2B, NME5, MIA-RAB4B, SPARC, GSTM5, FHL1	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	F-e12 CEXN1	Forebrain E12.5	Mouse E12.5	Cortical excitatory neurons	0.017998941238750663	0.024733238981140365	-0.35592739396532935	-1.4064252805465598	67	94	INA, RUFY3, NSG2, RTN1, SYT4, TAGLN3, GRIA2, SSTR2, NSG1, MYT1L, NEUROD6, PPP2R2B, DPYSL3, SLC17A6, CELF4, RND2, NDUFV3, STMN2, TTC3, NEUROD1, KIF21B, PCDH9, PPP1R14A, ITM2B, RBFOX3, TUBB3, GPM6A, PLXNA4, SERPINI1, RAB3A, CBLN2, MAP2, ID2, CACNA2D1, THRA, SRRM4, FTL, UCHL1	Jessa et al 2019
HGG-G34R.V_vs_HGG-IDH	VSVZ-2 Endothelial	V-SVZ	Mouse adult	VSVZ-2 Endothelial	0.017384535547483135	0.024386640142997174	-0.3604166633364991	-1.415607254626623	66	89	ID3, ID1, SPOCK2, ABCG2, SGMS1, CLIC5, ABLIM1, FAM110D, ABCB1, SRGN, LTBP4, TM4SF1, SLC9A3R2, CXCL12, SLCO1A2, KANK3, SLC6A6, PLTP, SEMA3C, CYYR1, CA4, GATA2, RAMP2, DEGS2, LY6E, CLDN5, SOX17, CCM2L, PTPRB, EDN1, C1orf115, SLC38A5, THBD, IGFBP7	Mizrak et al 2019
HGG-G34R.V_vs_HGG-IDH	HF IN-CTX-MGE2	Human fetal cortex/MGE	Human fetal	MGE-derived Ctx inhibitory neuron, Cortical Plate-enriched	0.012083780880773363	0.017311515871746237	-0.3591547203513292	-1.4320026030757482	44	100	NXPH1, GRIA4, FAM135B, LPHN3, XKR4, CADPS, THRB, NMNAT2, VSTM2A, LINC00599, RPH3A, MAPK10, SNAP25, KCNA3, NTN4, BMP3, SOX6, CELF4, SLAIN1, ERO1LB, SYT1, PDE4DIP, PARP8, RIMS1, ST8SIA4, ARID5B, PRKD1, MAGI2, ATRNL1, ANKRD28, RUNX1T1, ACKR3, FHL1, GRIA1	Nowakowski et al 2017
